club,loft,lie,shaft,length,target_carry
Driver,9,,Cobra DS-Adapt LS graphite X,45.5,250
3 Wood,15,,Cobra DS-Adapt graphite X,43.0,225
5 Wood,18,,Cobra DS-Adapt Max graphite X,42.0,200
Hybrid,21,,Cobra DS-Adapt 4H graphite X,40.0,185
5 Iron,24,61.5,Srixon ZX7 · SteelFiber i110 S,38.0,170
6 Iron,27,62.0,Srixon ZX7 · SteelFiber i110 S,37.5,165
7 Iron,31,62.5,Srixon ZX7 · SteelFiber i110 S,37.0,155
8 Iron,35,63.0,Srixon ZX7 · SteelFiber i110 S,36.5,145
9 Iron,39,63.5,Srixon ZX7 · SteelFiber i110 S,36.0,135
Pitching Wedge,43,64.0,Srixon ZX7 · SteelFiber i110 S,35.75,120
50 Wedge,50,64.0,Cleveland RTX6 · SteelFiber FC115 S,35.5,105
56 Wedge,56,64.0,Cleveland RTX6 · SteelFiber FC115 S,35.25,90
60 Wedge,60,64.0,Cleveland RTX6 · SteelFiber FC115 S,35.0,80
Putter,,,Tour Edge ZT-4,,
