club,club_category,club_make,club_model,smart_distance_yd,normalized_yd,tee_yd,fairway_yd,rough_yd,sand_yd,longest_yd,range_low_yd,range_high_yd,dispersion_yd,gir_pct,usage_count
Driver,Driver,Cobra,DS-ADAPT LS,264.2,264.2,270.5,,,,285.2,265.412,271.155,5.7,,33
3 Wood,Wood,Cobra,DS-ADAPT,229.0,229.0,239.0,,122.0,,239.8,225.476,238.387,12.9,0.0,4
5 Wood,Wood,Cobra,DS-ADAPT,200.1,,,,,,141.5,,,,0.0,2
Hybrid,Hybrid,Cobra,DS-ADAPT,196.3,196.3,184.1,,220.5,,220.5,200.447,211.369,10.9,0.0,7
6 Iron,Iron,Srixon,ZX7 Mk II,157.4,157.4,165.0,160.3,,,165.0,162.432,163.829,1.4,0.0,5
7 Iron,Iron,Srixon,ZX7 Mk II,155.4,155.4,161.9,155.0,134.1,,161.9,150.417,157.992,7.6,33.3,8
5 Iron,Iron,Srixon,ZX7 Mk II,147.8,147.8,164.9,155.1,163.5,,184.0,148.758,169.921,21.2,14.3,19
8 Iron,Iron,Srixon,ZX7 Mk II,141.3,,,,,,170.3,,,,100.0,2
9 Iron,Iron,Srixon,ZX7 Mk II,137.0,137.0,127.9,,144.1,,152.0,132.87,147.537,14.7,50.0,4
Pitching Wedge,Wedge,Srixon,ZX7 Mk II,112.7,112.7,129.0,111.5,105.0,,131.2,112.531,121.317,8.8,50.0,10
50 Wedge,Wedge,Cleveland,RTX 6 ZipCore,107.6,107.6,,113.5,104.5,,120.2,103.858,112.338,8.5,0.0,11
58 Wedge,Wedge,Cleveland,RTX 6 ZipCore,91.2,91.2,,91.4,91.2,,94.3,86.3596,93.3444,7.0,,21
54 Wedge,Wedge,Cleveland,RTX 6 ZipCore,72.2,72.2,,59.2,92.2,,102.4,67.6871,85.4968,17.8,100.0,16
