section,metric,slab,slab_unit,terrain,sga,shots_count,avg_dist_to_pin,dist_to_pin_unit,goal,extra
driving,sg_distance,,,,-2.2,,,,,
driving,sg_accuracy,,,,-2.1,,,,,
driving,sg_penalties,,,,0,,,,,
driving,driving_distance,,,,218,,,,259,"longestDrive={'unit': 'Yards', 'value': 285},drivingCount=28"
driving,driving_by_hole_length,0-350,Yards,,-0.9,3,,,,
driving,driving_by_hole_length,350-400,Yards,,-1.5,5,,,,
driving,driving_by_hole_length,400-450,Yards,,-0.9,3.5,,,,
driving,driving_by_hole_length,450+,Yards,,-0.9,2.5,,,,
approach,approach_by_pin_distance,50-100,Yards,,-4.1,8,,,,
approach,approach_by_pin_distance,100-150,Yards,,-3.1,7,,,,
approach,approach_by_pin_distance,150-200,Yards,,-3.5,7.5,,,,
approach,approach_by_pin_distance,200+,Yards,,-1.4,3.5,,,,
approach,approach_by_terrain,,,tee,-1.8,4,,,,
approach,approach_by_terrain,,,fairway,-5.6,11,,,,
approach,approach_by_terrain,,,rough,-4.7,11,,,,
approach,approach_by_terrain,,,sand,,0,,,,
short,chip_by_pin_distance,0-25,Yards,,-1.1,4.5,,,,
short,chip_by_pin_distance,25-50,Yards,,-2.2,7,,,,
short,chipping_accuracy,0-25,Yards,,,,12,ft,12,
short,chipping_accuracy,25-50,Yards,,,,38,ft,20,
short,sand_by_pin_distance,0-25,Yards,,-0.1,0.5,,,,
short,sand_by_pin_distance,25-50,Yards,,0,1,,,,
short,sand_accuracy,0-25,Yards,,,,26,ft,17,
short,sand_accuracy,25-50,Yards,,,,14,ft,24,
putting,putting_by_length,0-10,ft,,-1.2,22,,,,
putting,putting_by_length,10-25,ft,,-1.8,5.5,,,,
putting,putting_by_length,25-50,ft,,-0.1,4.5,,,,
putting,putting_by_length,50+,ft,,0.9,5,,,,
